10327	1	45550826	45570049	hsa00010
124	4	99290985	99276369	hsa00010
125	4	99321401	99304971	hsa00010
126	4	99352746	99336497	hsa00010
127	4	99144297	99123658	hsa00010
128	4	99088788	99070978	hsa00010
130	4	99219246	99202639	hsa00010
130589	2	38666114	38734765	hsa00010
131	4	99435342	99412263	hsa00010
160287	11	18455856	18479601	hsa00010
1737	11	112025408	112064404	hsa00010
1738	7	107891107	107921198	hsa00010
2023	1	8878686	8861000	hsa00010
2026	12	6914580	6923697	hsa00010
2027	17	4948710	4957129	hsa00010
217	12	111766933	111817532	hsa00010
218	17	19748298	19737984	hsa00010
219	9	38392702	38398661	hsa00010
2203	9	94640263	94603133	hsa00010
221	11	68008547	68029276	hsa00010
222	11	67681252	67662155	hsa00010
223	1	165698562	165662216	hsa00010
224	17	19648136	19677596	hsa00010
226	16	30064279	30070420	hsa00010
229	9	101435774	101420560	hsa00010
230	17	28576895	28573120	hsa00010
2538	17	42900799	42914438	hsa00010
2597	12	6534517	6538371	hsa00010
26330	19	35533456	35545319	hsa00010
2645	7	44189439	44143213	hsa00010
2821	19	34359718	34402413	hsa00010
3098	10	69270000	69401882	hsa00010
3099	2	74834127	74893359	hsa00010
3101	5	176899346	176880869	hsa00010
387712	10	116849499	116912375	hsa00010
3939	11	18394563	18408425	hsa00010
3945	12	21657842	21635342	hsa00010
3948	11	18412318	18452063	hsa00010
441531	X	77969638	77967949	hsa00010
501	5	126595219	126541841	hsa00010
5105	20	57561110	57568121	hsa00010
5106	14	24094171	24104125	hsa00010
5160	X	19343927	19361718	hsa00010
5161	4	95840093	95841464	hsa00010
5162	3	58433832	58427630	hsa00010
5211	21	44300053	44327373	hsa00010
5213	12	48105353	48146404	hsa00010
5214	10	3067548	3136805	hsa00010
5223	10	97426191	97433444	hsa00010
5224	7	44065567	44062727	hsa00010
5230	X	78104248	78129295	hsa00010
5232	6	49787285	49785660	hsa00010
5236	1	63593411	63660245	hsa00010
5313	1	155308654	155289293	hsa00010
5315	15	72231591	72199029	hsa00010
55276	4	37826686	37862937	hsa00010
55902	20	34874989	34927959	hsa00010
57818	2	168901291	168910000	hsa00010
669	7	134646853	134679816	hsa00010
7167	12	6867420	6870948	hsa00010
80201	10	69220332	69267552	hsa00010
83440	15	72783758	72751294	hsa00010
84532	20	25058139	25006237	hsa00010
8789	9	94593824	94558720	hsa00010
92483	15	59206843	59208588	hsa00010
92579	17	44070673	44076344	hsa00010
9562	10	87504893	87553461	hsa00010
1431	12	56300330	56271699	hsa00020
1737	11	112025408	112064404	hsa00020
1738	7	107891107	107921198	hsa00020
1743	14	74881916	74903743	hsa00020
2271	1	241519755	241497603	hsa00020
3417	2	208255071	208236227	hsa00020
3418	15	90102468	90083045	hsa00020
3419	15	78149362	78171945	hsa00020
3420	20	2664216	2658395	hsa00020
3421	X	153794375	153785768	hsa00020
4190	2	63588963	63607197	hsa00020
4191	7	76048106	76067508	hsa00020
47	17	41930545	41866917	hsa00020
48	9	32384643	32454769	hsa00020
4967	7	44606627	44709066	hsa00020
50	22	41469117	41528974	hsa00020
5091	11	66958383	66848420	hsa00020
5105	20	57561110	57568121	hsa00020
5106	14	24094171	24104125	hsa00020
5160	X	19343927	19361718	hsa00020
5161	4	95840093	95841464	hsa00020
5162	3	58433832	58427630	hsa00020
55753	10	49762379	49734641	hsa00020
6389	5	218320	268746	hsa00020
6390	1	17054032	17018722	hsa00020
6391	1	161314381	161363206	hsa00020
6392	11	112086873	112095794	hsa00020
8801	3	67654612	67360460	hsa00020
8802	2	84459280	84423528	hsa00020
8803	13	48001273	47942656	hsa00020
132158	3	52287828	52295257	hsa00030
2203	9	94640263	94603133	hsa00030
221823	7	18027846	18026770	hsa00030
226	16	30064279	30070420	hsa00030
229	9	101435774	101420560	hsa00030
22934	2	88691673	88750929	hsa00030
230	17	28576895	28573120	hsa00030
